epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,73.3142,0.79263,0.64086,0.93373,0.95894,1,0.995,0.78203,0.932,0.6559,1.04564,0.00104813,0.00104813,0.00104813
77,74.6187,0.79383,0.65251,0.92123,0.95894,1,0.995,0.78203,0.932,0.6559,1.04564,0.00103987,0.00103987,0.00103987
78,75.4027,0.85271,0.69173,0.92792,0.9586,0.99788,0.995,0.78229,0.94006,0.66868,1.0518,0.00103162,0.00103162,0.00103162
79,76.3883,0.8075,0.61521,0.90568,0.9586,0.99788,0.995,0.78229,0.94006,0.66868,1.0518,0.00102337,0.00102337,0.00102337
80,77.7239,0.74514,0.61966,0.90108,0.97205,0.95944,0.995,0.76886,1.0183,0.7186,1.11232,0.00101512,0.00101512,0.00101512
81,78.7642,0.77398,0.60594,0.91436,0.97205,0.95944,0.995,0.76886,1.0183,0.7186,1.11232,0.00100687,0.00100687,0.00100687
82,80.3902,0.79882,0.62019,0.93543,0.9762,0.95911,0.995,0.76863,1.02306,0.70096,1.1121,0.000998616,0.000998616,0.000998616
83,81.0878,0.75212,0.61186,0.91422,0.9762,0.95911,0.995,0.76863,1.02306,0.70096,1.1121,0.000990365,0.000990365,0.000990365
84,82.17,0.72817,0.58113,0.89445,0.95701,0.98093,0.995,0.78114,0.9336,0.65312,1.0482,0.000982113,0.000982113,0.000982113
85,83.5543,0.75023,0.58268,0.91856,0.95701,0.98093,0.995,0.78114,0.9336,0.65312,1.0482,0.000973861,0.000973861,0.000973861
86,84.2708,0.76504,0.60692,0.91762,0.9609,1,0.995,0.78892,0.91136,0.61338,1.05379,0.00096561,0.00096561,0.00096561
87,85.2845,0.78854,0.6217,0.90948,0.9609,1,0.995,0.78892,0.91136,0.61338,1.05379,0.000957358,0.000957358,0.000957358
88,86.7839,0.72854,0.5858,0.8987,0.96984,1,0.995,0.78917,0.9634,0.59281,1.10542,0.000949106,0.000949106,0.000949106
89,87.6009,0.76142,0.61793,0.92716,0.96984,1,0.995,0.78917,0.9634,0.59281,1.10542,0.000940855,0.000940855,0.000940855
90,88.8886,0.77735,0.61486,0.95342,0.96578,1,0.995,0.78862,0.91188,0.57124,1.08618,0.000932603,0.000932603,0.000932603
91,90.8685,0.74408,0.61221,0.91364,0.96578,1,0.995,0.78862,0.91188,0.57124,1.08618,0.000924352,0.000924352,0.000924352
92,91.4136,0.77034,0.62551,0.92462,0.97086,1,0.995,0.78046,0.90676,0.57365,1.04159,0.0009161,0.0009161,0.0009161
93,92.1064,0.73694,0.6019,0.91182,0.97086,1,0.995,0.78046,0.90676,0.57365,1.04159,0.000907848,0.000907848,0.000907848
94,92.8783,0.71032,0.57573,0.90692,0.97826,1,0.995,0.79227,0.82961,0.5456,1.01324,0.000899597,0.000899597,0.000899597
95,94.0492,0.70508,0.56443,0.90868,0.97826,1,0.995,0.79227,0.82961,0.5456,1.01324,0.000891345,0.000891345,0.000891345
96,95.6326,0.72148,0.55453,0.8785,0.97187,1,0.995,0.81331,0.83837,0.54843,1.00511,0.000883093,0.000883093,0.000883093
97,96.2945,0.78612,0.63641,0.93413,0.97187,1,0.995,0.81331,0.83837,0.54843,1.00511,0.000874842,0.000874842,0.000874842
98,97.1715,0.69332,0.53485,0.88188,0.97161,1,0.995,0.80777,0.80866,0.53753,0.99004,0.00086659,0.00086659,0.00086659
99,97.9368,0.65156,0.54966,0.88446,0.97161,1,0.995,0.80777,0.80866,0.53753,0.99004,0.000858338,0.000858338,0.000858338
100,98.9956,0.67086,0.56023,0.87388,0.95681,0.99453,0.995,0.74929,0.88706,0.54136,1.02102,0.000850087,0.000850087,0.000850087
101,100.33,0.68312,0.55432,0.89667,0.95681,0.99453,0.995,0.74929,0.88706,0.54136,1.02102,0.000841835,0.000841835,0.000841835
102,101.058,0.68813,0.55236,0.89176,0.95241,0.99136,0.995,0.73772,0.94067,0.54888,1.03894,0.000833583,0.000833583,0.000833583
103,101.924,0.67365,0.54347,0.90557,0.95241,0.99136,0.995,0.73772,0.94067,0.54888,1.03894,0.000825332,0.000825332,0.000825332
104,103.377,0.65789,0.56043,0.89851,0.9517,0.99122,0.995,0.72616,1.00469,0.56822,1.07218,0.00081708,0.00081708,0.00081708
105,104.424,0.69579,0.54643,0.90791,0.9517,0.99122,0.995,0.72616,1.00469,0.56822,1.07218,0.000808828,0.000808828,0.000808828
106,105.62,0.64476,0.54657,0.89576,0.95304,0.98908,0.995,0.72567,0.96262,0.58434,1.05331,0.000800577,0.000800577,0.000800577
107,106.798,0.66167,0.53178,0.87545,0.95304,0.98908,0.995,0.72567,0.96262,0.58434,1.05331,0.000792325,0.000792325,0.000792325
108,107.457,0.65208,0.56333,0.88332,0.95005,0.98984,0.995,0.75268,0.93197,0.56449,1.06712,0.000784073,0.000784073,0.000784073
109,108.34,0.63232,0.53188,0.87009,0.95005,0.98984,0.995,0.75268,0.93197,0.56449,1.06712,0.000775822,0.000775822,0.000775822
110,109.751,0.67977,0.54384,0.88915,0.96657,1,0.995,0.78666,0.9199,0.56586,1.0588,0.00076757,0.00076757,0.00076757
111,110.754,0.64269,0.52284,0.87176,0.96657,1,0.995,0.78666,0.9199,0.56586,1.0588,0.000759318,0.000759318,0.000759318
112,111.363,0.66549,0.56167,0.90568,0.97674,1,0.995,0.7775,0.89871,0.54934,1.03487,0.000751067,0.000751067,0.000751067
113,111.871,0.67393,0.5343,0.89613,0.97674,1,0.995,0.7775,0.89871,0.54934,1.03487,0.000742815,0.000742815,0.000742815
114,112.902,0.66076,0.55158,0.87261,0.98187,1,0.995,0.751,0.95779,0.53258,1.06881,0.000734564,0.000734564,0.000734564
115,114.263,0.63298,0.53739,0.88069,0.98187,1,0.995,0.751,0.95779,0.53258,1.06881,0.000726312,0.000726312,0.000726312
116,115.01,0.64906,0.54154,0.88691,0.98206,1,0.995,0.76846,0.904,0.51668,1.05563,0.00071806,0.00071806,0.00071806
117,115.966,0.63953,0.5676,0.90257,0.98206,1,0.995,0.76846,0.904,0.51668,1.05563,0.000709809,0.000709809,0.000709809
118,117.628,0.5891,0.51902,0.86962,0.9676,0.9951,0.995,0.79051,0.87077,0.51718,1.05379,0.000701557,0.000701557,0.000701557
119,118.338,0.60116,0.50594,0.87472,0.9676,0.9951,0.995,0.79051,0.87077,0.51718,1.05379,0.000693305,0.000693305,0.000693305
120,118.904,0.59042,0.52059,0.85668,0.97182,1,0.995,0.80563,0.89813,0.51068,1.06958,0.000685054,0.000685054,0.000685054
121,119.784,0.66989,0.51436,0.89646,0.97182,1,0.995,0.80563,0.89813,0.51068,1.06958,0.000676802,0.000676802,0.000676802
122,121.324,0.64207,0.50502,0.89074,0.97827,1,0.995,0.76708,0.8705,0.48711,1.03958,0.00066855,0.00066855,0.00066855
123,122.025,0.63493,0.50335,0.87065,0.97827,1,0.995,0.76708,0.8705,0.48711,1.03958,0.000660299,0.000660299,0.000660299
124,123.047,0.63017,0.53047,0.88302,0.98134,1,0.995,0.78442,0.89304,0.48641,1.04593,0.000652047,0.000652047,0.000652047
125,124.25,0.6494,0.51203,0.8659,0.98134,1,0.995,0.78442,0.89304,0.48641,1.04593,0.000643795,0.000643795,0.000643795
126,125.533,0.62837,0.53502,0.91106,0.98438,1,0.995,0.81133,0.89049,0.47727,1.04087,0.000635544,0.000635544,0.000635544
127,126.973,0.61228,0.50591,0.87648,0.98438,1,0.995,0.81133,0.89049,0.47727,1.04087,0.000627292,0.000627292,0.000627292
128,127.804,0.62302,0.51261,0.87815,0.97844,1,0.995,0.80879,0.88214,0.46993,1.04644,0.00061904,0.00061904,0.00061904
129,128.353,0.59734,0.50192,0.8875,0.97844,1,0.995,0.80879,0.88214,0.46993,1.04644,0.000610789,0.000610789,0.000610789
130,129.362,0.61084,0.47989,0.85713,0.97096,1,0.995,0.78748,0.88439,0.47657,1.04975,0.000602537,0.000602537,0.000602537
131,130.719,0.59032,0.47489,0.86524,0.97096,1,0.995,0.78748,0.88439,0.47657,1.04975,0.000594286,0.000594286,0.000594286
132,131.56,0.61939,0.49609,0.87304,0.95262,0.99982,0.995,0.77207,0.87027,0.48517,1.03351,0.000586034,0.000586034,0.000586034
133,132.685,0.61968,0.50944,0.90281,0.95262,0.99982,0.995,0.77207,0.87027,0.48517,1.03351,0.000577782,0.000577782,0.000577782
134,134.115,0.60347,0.50011,0.88196,0.95168,0.99513,0.995,0.81524,0.84206,0.48479,1.02078,0.000569531,0.000569531,0.000569531
